estid,os,deviceType,li_age,li_gender,li_income,city_location,city_size,city_tech,city_urban,organization
ZGkACmPG6ysAAAAIFHAzAw==,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,0,1,4,1,3,1,1,0,1,0
ZGkACmPG6ysAAAAIFHAzAw==,0,1,4,1,3,1,1,0,1,0
ZGkACmRlDQ0AAAAII4pQAw==,4,0,5,0,2,3,1,0,2,0
ZGkACmRlDQ0AAAAII4pQAw==,4,0,5,0,2,3,1,0,2,0
ZGkACmRlDQ0AAAAII4pQAw==,4,0,5,0,2,3,1,0,2,0
ZGkACmRlDQ0AAAAII4pQAw==,4,0,5,0,2,3,1,0,2,0
ZGkACmRlDQ0AAAAII4pQAw==,4,0,5,0,2,3,1,0,2,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmT+bzwAAAAIeHQ9Aw==,0,1,5,0,0,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
ZGkACmTjf7MAAAAIDHimAw==,0,1,1,0,1,0,1,0,1,0
